"Geographic name","Longitude","Latitude","PRNAME","Geographic code","Geographic type","Population 2011","Population 2006","CSDUID","CDUID","CDNAME","ERNAME"
Calgary,-114.052206,51.035212,Alberta,4806016,CY,1096833,988812,4806016,4806,Division No.  6,Calgary
Edmonton,-113.494839,53.537162,Alberta,4811061,CY,812201,730372,4811061,4811,Division No. 11,Edmonton
Strathcona County,-113.098756,53.567279,Alberta,4811052,SM,92490,82511,4811052,4811,Division No. 11,Edmonton
Red Deer,-113.79703,52.281594,Alberta,4808011,CY,90564,83154,4808011,4808,Division No.  8,Red Deer
Lethbridge,-112.843978,49.687894,Alberta,4802012,CY,83517,74685,4802012,4802,Division No.  2,Lethbridge--Medicine Hat
Wood Buffalo,-111.308568,57.542179,Alberta,4816037,SM,65565,51496,4816037,4816,Division No. 16,Wood Buffalo--Cold Lake
St. Albert,-113.638706,53.640444,Alberta,4811062,CY,61466,57764,4811062,4811,Division No. 11,Edmonton
Medicine Hat,-110.701472,50.045886,Alberta,4801006,CY,60005,56997,4801006,4801,Division No.  1,Lethbridge--Medicine Hat
Grande Prairie,-118.805151,55.170012,Alberta,4819012,CY,55032,47107,4819012,4819,Division No. 19,Athabasca--Grande Prairie--Peace River
Airdrie,-114.012817,51.276754,Alberta,4806021,CY,42564,28927,4806021,4806,Division No.  6,Calgary
Rocky View County,-114.065026,51.226484,Alberta,4806014,MD,36461,33173,4806014,4806,Division No.  6,Calgary
Parkland County,-114.405095,53.483239,Alberta,4811034,MD,30568,29220,4811034,4811,Division No. 11,Edmonton
Vancouver,-123.107835,49.248621,British Columbia,5915022,CY,603502,578041,5915022,5915,Greater Vancouver,Lower Mainland--Southwest / Lower Mainland--Sud-ouest
Surrey,-122.784317,49.116802,British Columbia,5915004,CY,468251,394976,5915004,5915,Greater Vancouver,Lower Mainland--Southwest / Lower Mainland--Sud-ouest
Burnaby,-122.965231,49.245627,British Columbia,5915025,CY,223218,202799,5915025,5915,Greater Vancouver,Lower Mainland--Southwest / Lower Mainland--Sud-ouest
Richmond,-123.108976,49.162961,British Columbia,5915015,CY,190473,174461,5915015,5915,Greater Vancouver,Lower Mainland--Southwest / Lower Mainland--Sud-ouest
Abbotsford,-122.285385,49.069141,British Columbia,5909052,CY,133497,124258,5909052,5909,Fraser Valley,Lower Mainland--Southwest / Lower Mainland--Sud-ouest
Coquitlam,-122.771434,49.297332,British Columbia,5915034,CY,126456,114565,5915034,5915,Greater Vancouver,Lower Mainland--Southwest / Lower Mainland--Sud-ouest
Kelowna,-119.440336,49.884948,British Columbia,5935010,CY,117312,107035,5935010,5935,Central Okanagan,Thompson--Okanagan
Saanich,-123.389924,48.496895,British Columbia,5917021,DM,109752,108265,5917021,5917,Capital,Vancouver Island and Coast / le de Vancouver et la cte
