"OBJECTID","RegionCode","SUM_popEdited","SUM_BandNumber","SUM_densityKm2","Shape_Length","Shape_Area"
1,102.000000,550.000000,3.000000,0.007043,1569789.839471,78083805676.1966
2,104.000000,1000.000000,30.000000,0.005705,1829755.328342,175281152569.662
3,105.000000,750.000000,15.000000,0.006663,8065883.494653,112546055264.744
4,106.000000,8500.000000,8.000000,0.060195,2347485.205521,141206531768.237
5,107.000000,252.000000,6.000000,0.007336,741488.627403,34348849273.5811
6,108.000000,4000.000000,50.000000,0.008832,3592106.403411,452891118976.594
7,109.000000,8500.000000,500.000000,0.028273,3710588.334502,300636668321.669
8,110.000000,8500.000000,500.000000,0.023038,3254330.819081,368954314189.969
9,111.000000,1200.000000,4.000000,0.004898,2124846.929280,244972339389.051
10,112.000000,1000.000000,40.000000,0.029048,820019.494840,34425323270.0266
11,113.000000,800.000000,10.000000,0.004053,1800986.325054,197382052192.771
12,114.000000,4000.000000,20.000000,0.007609,4942183.380331,525677448324.069
13,115.000000,0.000000,0.000000,0.000000,3130818.780971,282510039692.208
14,116.000000,500.000000,20.000000,0.004044,1841499.566111,123611251579.324
15,117.000000,4600.000000,10.000000,0.029108,1765690.791129,158029349692.440
16,118.000000,105.000000,2.000000,0.000682,1710174.839704,153885661434.945
17,119.000000,10000.000000,200.000000,0.039439,2124890.174324,253551484368.823
18,120.000000,5000.000000,200.000000,0.028859,1785815.451098,173253143700.273
19,121.000000,250.000000,4.000000,0.002460,1425746.472444,101587049805.127
20,122.000000,1200.000000,60.000000,0.004943,2214462.344397,242743414595.564
21,123.000000,75.000000,10.000000,0.000901,1706811.064989,83169467414.0268
22,125.000000,400.000000,15.000000,0.006707,1175729.622310,59632073982.9604
23,126.000000,250.000000,6.000000,0.001612,1773695.649046,155077942121.793
24,127.000000,430.000000,10.000000,0.004736,1618367.444838,90784669273.7996
25,128.000000,0.000000,0.000000,0.000000,588229.350892,18427876237.9473
26,129.000000,20000.000000,1300.000000,0.026578,4941189.923637,752477814686.676
27,130.000000,0.000000,0.000000,0.000000,457975.448868,8503898091.16089
28,131.000000,9000.000000,850.000000,0.055700,2831373.117805,161576684037.942
29,202.000000,10000.000000,30.000000,0.083950,2145056.626556,119118306635.130
30,203.000000,15000.000000,33.000000,0.136167,1372350.331759,110159336959.137
31,204.000000,4000.000000,12.000000,0.060422,1131593.179254,66200096112.1440
32,205.000000,10000.000000,5.000000,0.087472,1605786.452580,114322362175.255
33,206.000000,650.000000,8.000000,0.033091,598770.089258,19642176380.9698
34,207.000000,1000.000000,20.000000,0.010725,1454164.910802,93234365754.1436
35,302.000000,4000.000000,200.000000,0.211656,666870.858060,18898587314.5503
36,303.000000,9000.000000,25.000000,0.086883,1375715.096118,103586933214.817
37,304.000000,5000.000000,15.000000,0.284366,766059.286276,17582913257.7286
38,305.000000,1200.000000,20.000000,0.029464,946541.653863,40727477574.5485
39,306.000000,1200.000000,6.000000,0.013806,1439847.073356,86918438886.3774
40,307.000000,400.000000,10.000000,0.047301,358411.964441,8456426871.82218
41,402.000000,2800.000000,5.000000,0.018719,5373771.688396,149578126920.373
42,403.000000,2000.000000,17.000000,0.005356,9138005.934435,373356659479.182
43,404.000000,550.000000,9.000000,0.002717,5716377.886299,202358799093.902
44,405.000000,500.000000,4.000000,0.001458,12293867.239145,342796106984.333
45,406.000000,700.000000,5.000000,0.002889,3423427.034528,242218126627.371
46,407.000000,6000.000000,11.000000,0.026904,13975525.164050,223011842712.916
47,408.000000,2020.000000,3.000000,0.007556,6838179.600868,267320123731.237
48,409.000000,1460.000000,12.000000,0.030458,3243740.717731,47933780477.0527
49,410.000000,65.000000,1.000000,0.001904,1891049.813249,34120794861.3254
50,503.000000,14820.000000,14.000000,0.177386,5600020.040971,83546347830.3611
51,504.000000,14427.000000,6.000000,1.554720,1590842.259650,9279492708.80124
52,505.000000,14485.000000,26.000000,0.476040,2860355.631422,30428136615.2392
53,506.000000,1238.000000,5.000000,0.113222,690684.086183,10934288588.6244
54,508.000000,2910.000000,45.000000,0.339231,624331.930024,8578215657.28058
55,509.000000,19125.000000,30.000000,0.646005,2132425.345373,29605027377.2978
56,510.000000,6000.000000,22.000000,0.304291,1405917.501293,19717910696.3150
57,511.000000,4057.000000,4.000000,0.259847,1133971.420939,15613047749.6245
58,512.000000,20000.000000,5.000000,1.540060,779088.873520,12986464197.2140
59,602.000000,100000.000000,2000.000000,0.283856,4481149.833894,352290708134.300
60,603.000000,5000.000000,4.000000,0.336281,796768.545599,14868531791.2892
61,604.000000,8000.000000,2.000000,1.389170,315883.387075,5758818079.66632
62,605.000000,30000.000000,8.000000,0.904339,929211.301320,33173384702.2322
63,606.000000,12000.000000,4.000000,0.266189,1050127.142648,45080785493.0160
64,607.000000,800.000000,4.000000,0.032968,675982.366505,24265885299.9439
65,608.000000,7300.000000,6.000000,0.049624,2095305.006396,147104182690.489
66,609.000000,2500.000000,2.000000,0.028199,2810143.158389,88655224249.7226
67,610.000000,4500.000000,200.000000,0.039101,8194732.023289,115086273326.907
68,900.000000,0.000000,0.000000,0.000000,67690088.592437,819370389352.459
