"FID_","FIPSSTCO","TRT2000","STFID","OID_","SCTRACTW","FIPSPLACEW","CENSUSPLW","SCTRACTR","FIPSPLACER","CENSUCPLR","TRACTTOTRA","STFID_1","ID_ID","Distance"
,"11001","000902","11001000902",263,51059471200.0000,79952,1252,11001000902.0000,50000,5,4,"11001000902",6658.000000,0.001789
,"11001","000901","11001000901",1391,51059460500.0000,79952,1252,11001000901.0000,50000,5,4,"11001000901",6672.000000,0.008338
,"11001","001001","11001001001",2,51059471200.0000,48376,772,11001001001.0000,50000,5,4,"11001001001",6682.000000,0.004716
,"11001","001100","11001001100",2138,51059480200.0000,79952,1252,11001001100.0000,50000,5,15,"11001001100",6686.000000,0.005623
,"11001","000801","11001000801",1,51059471200.0000,48376,772,11001000801.0000,50000,5,10,"11001000801",6707.000000,0.011281
,"11001","001401","11001001401",744,51059460400.0000,79952,1252,11001001401.0000,50000,5,4,"11001001401",6714.000000,0.004588
,"11001","001002","11001001002",743,51059460400.0000,79952,1252,11001001002.0000,50000,5,10,"11001001002",6758.000000,0.003750
,"11001","001402","11001001402",2143,51059480200.0000,79952,1252,11001001402.0000,50000,5,35,"11001001402",6765.000000,0.000624
,"11001","001200","11001001200",2139,51059480200.0000,79952,1252,11001001200.0000,50000,5,40,"11001001200",6774.000000,0.004953
,"11001","001302","11001001302",1393,51059460500.0000,79952,1252,11001001302.0000,50000,5,20,"11001001302",6783.000000,0.004811
,"11001","000701","11001000701",739,51059460400.0000,79952,1252,11001000701.0000,50000,5,4,"11001000701",6788.000000,0.001201
,"11001","000600","11001000600",2131,51059480200.0000,79952,1252,11001000600.0000,50000,5,25,"11001000600",6793.000000,0.006370
,"11001","000702","11001000702",0,51059471200.0000,48376,772,11001000702.0000,50000,5,4,"11001000702",6809.000000,0.004621
,"11001","000300","11001000300",261,51059471200.0000,79952,1252,11001000300.0000,50000,5,4,"11001000300",6811.000000,0.004583
